label,frequency,percent
backported,540,33.49875930521092
preview,248,15.384615384615385
work: needs rebase,106,6.575682382133994
candidate: yes,77,4.776674937965261
size: small,75,4.652605459057072
needs review: NewGRF,57,3.535980148883375
needs review: Script API,54,3.3498759305210917
size: trivial,50,3.101736972704715
candidate: needs considering,46,2.8535980148883375
size: large,37,2.295285359801489
backport requested,34,2.109181141439206
work: needs more work,28,1.7369727047146404
stale,28,1.7369727047146404
waiting on author,25,1.5508684863523574
work: minor details,20,1.240694789081886
OS: MacOS,20,1.240694789081886
component: NewGRF,18,1.1166253101736971
needs review,14,0.8684863523573202
candidate: probably not,12,0.7444168734491315
OS: Windows,11,0.6823821339950372
candidate: most likely,10,0.620347394540943
wip,10,0.620347394540943
work: still in progress (draft),8,0.49627791563275436
component: OpenGL,8,0.49627791563275436
component: AI/Game script (squirrel),7,0.4342431761786601
size: extra large,7,0.4342431761786601
won't implement,6,0.37220843672456577
needs review: mad man,5,0.3101736972704715
backport squash,5,0.3101736972704715
work: missing intention,5,0.3101736972704715
bug,5,0.3101736972704715
OS: Linux,5,0.3101736972704715
needs triage,5,0.3101736972704715
dependencies,4,0.24813895781637718
regression,3,0.18610421836228289
security,3,0.18610421836228289
enhancement,3,0.18610421836228289
github_actions,2,0.12406947890818859
component: interface,2,0.12406947890818859
component: pathfinder,2,0.12406947890818859
needs review: C++,2,0.12406947890818859
needs testing,2,0.12406947890818859
component: ICU,2,0.12406947890818859
question,1,0.062034739454094295
