label,frequency,percent
One approval ✅ ◻️,2225,11.34798796348243
Bugfix 🐛,2005,10.225939715407764
>= Two approvals ✅ ✅,1727,8.808078747386137
Feature ✨,1306,6.660886418115979
Maintenance,1202,6.130463609935227
Trivial,1197,6.104962513388076
@ Client / Audiovisuals,1116,5.691844749324221
@ Script API,909,4.636099352272148
@ Documentation,587,2.9938287346355894
@ Server / Client / Env.,526,2.682715356760341
@ Mapgen,426,2.17269342581731
Rebase needed,407,2.0757892589381344
@ Build,373,1.9023818024175039
Performance,349,1.7799765389911766
Action / change needed,313,1.5963686438516855
@ Mainmenu,297,1.514765134900801
Possible close,277,1.4127607487121945
Code quality,272,1.387259652165043
Android,245,1.2495537308104248
Bug,245,1.2495537308104248
@ Startup / Config / Util,241,1.2291528535727037
@ Client / Controls / Input,221,1.1271484673840975
@ Client rendering,204,1.0404447391237823
Formspec,194,0.9894425460294792
Concept approved,177,0.902738817769164
Low priority,177,0.902738817769164
Roadmap,171,0.8721375019125822
High priority,162,0.8262355281277094
@ Translation,159,0.8109348701994186
@ Builtin,154,0.7854337736522671
@ Network,135,0.6885296067730913
UI/UX,127,0.6477278522976488
@ Client Script API,122,0.6222267557504972
Blocker,116,0.5916254398939155
Testing needed,112,0.5712245626561943
Adoption needed,99,0.5049217116336002
Won't add,92,0.46922017646758807
Roadmap: supported by core dev,90,0.4590197378487275
Windows,81,0.4131177640638547
@ Content / PkgMgr,72,0.367215790278982
Roadmap: Needs approval,69,0.3519151323506911
Sounds,60,0.30601315856581834
Shaders,53,0.2703116233998062
Textures,49,0.24991074616208497
Controversial,49,0.24991074616208497
@ Engine Core,45,0.22950986892436376
@ Devtest Game,45,0.22950986892436376
1 approval rule,41,0.20910899168664251
Security,35,0.1785076758300607
macOS,28,0.14280614066404856
Protocol bump,24,0.12240526342632733
Discussion,23,0.11730504411689702
Invalid,22,0.11220482480746671
Linux,18,0.0918039475697455
Non-trivial,16,0.08160350895088489
Unconfirmed bug,16,0.08160350895088489
User feedback needed,13,0.06630285102259396
Regression,13,0.06630285102259396
Duplicate,13,0.06630285102259396
Waiting (on dependency),12,0.06120263171316367
Breaking Change,10,0.05100219309430305
Not a bug,8,0.040801754475442445
Request / Suggestion,8,0.040801754475442445
Feature request,8,0.040801754475442445
Help needed,4,0.020400877237721222
@ Meta,3,0.015300657928290917
SSCSM,3,0.015300657928290917
Upstream issue,3,0.015300657928290917
Can't add,3,0.015300657928290917
Unit tests,1,0.005100219309430306
BSD,1,0.005100219309430306
good first issue,1,0.005100219309430306
