id,title,author,created_at,closed_at,labels,body
2797603841,Adds installationTime and repairTime to equipment info object,phkb,2025-09-04 00:33:46+00:00,2025-09-04 11:33:38+00:00,{},Also updates to CHANGELOG.TXT.
2780487799,Adding new world event guiSelectedRowChanged,phkb,2025-08-28 05:30:17+00:00,2025-09-01 21:38:41+00:00,{},"This PR adds a new world event, ""guiSelectedRowChanged"", which is raised any time the player selects a new item on a gui screen. This could happen by using the up and down arrow keys, or by using the mouse.

The goal of this event is to give scripters the ability to see what the player is doing on a screen and respond to it _before_ the player presses the enter key. For instance, looking towards accessibility development, the text of the selected item could be read out to the player audibly as soon as they select it. 

The format of the event is:

`this.guiSelectedRowChanged = function(key, row, text) {
}`

Where
   key (string) = the underlying key code for the selected row, based on the screen currently shown.
   row (int) = the gui screen row index value for the selected row
   text (string) = the text of the selected row

The event will fire on all screens that have any sort of gui element, including the options screen (F2), the game options screen, and any mission screen. Screens where the event doesn't fire are the various chart screens (F6 and F6F6), the system info screen (F7), the manifest screen (F5F5), but only if there is a single page, and the market info screen (F8F8)."
2779809448,Fixes Linux format-security issues,phkb,2025-08-27 22:50:34+00:00,2025-08-28 12:11:56+00:00,{},Courtesy of LW-archlinux
2760660523,HDR selectable tone mapper & migration of some global properties to the oolite JS object,AnotherCommander,2025-08-20 18:05:16+00:00,2025-08-21 18:16:59+00:00,{},"This is a dual purpose PR. Its second part came to existence as a result of changes to the first part. Here is what we are trying to achieve:

# 1. HDR selectable tone mapper
__Note: This is a Windows-only feature at this time.__

We can now select from three available HDR tone mappers for the final scene presentation, four if you include the no-tone-mapper option which is there mainly for testing purposes. The selection is made by script for now, using specific string identifiers for each one and this syntax:

`oolite,hdrToneMapper = [""OOHDR_TONEMAPPER_ACES_APPROX"" | ""OOHDR_TONEMAPPER_DICE "" | ""OOHDR_TONEMAPPER_REINHARD"" | ""OOHDR_TONEMAPPER_NONE""]`

At any time you can query the active tone mapper with

`oolite.hdrToneMapper`

If you try to pass any invalid string, ""OO_HDR_TONEMAPPER_ACES_APPROX"" will be automatically selected.

The default is OO_HDR_TONEMAPPER_ACES_APPROX, which is what we currently have and refers to the ACES approximation by [Krzysztof Narkowicz](https://knarkowicz.wordpress.com/2016/08/31/hdr-display-first-steps/). A very good tone map overall, very fitting with sci-fi themes with good handling of dark tones.

OO_HDR_TONEMAPPER_DICE is an implementation of DICE's by-luminance tone mapper. It is very vivid and bright and maintains color hues. The implementation we have in this PR is a direct translation to glsl  of the [RenoDX](https://github.com/clshortfuse/renodx) hlsl code by Carlos Lopez Jr, licensed under the MIT license.

OO_HDR_TONEMAPPER_REINHARD is the standard old Reinhard tone mapper adapted for HDR. It is very simple and, as a result, very fast, but not as visually impressive as the other two.

OO_HDR_TONEMAPPER_NONE will display the actual HDR output from the game without any attempt to map to your display's capabilities. Currently there is a 1000 nits cap on this. If you use this, you will notice hard clipping of highlights in a lot of occasions. It is mainly here for testing purposes.

Additionally, you can define the desired HDR tone mapper inside .GNUstepDefaults if you prefer like this for example:
`""hdr-tone-mapper"" = OOHDR_TONEMAPPER_DICE;`
Note that the quotes are not required here. Again, any invalid string will automatically fall back to OOHDR_TONEMAPPER_ACES_APPROX.

If you are running in SDR or under Linux, `oolite.hdrToneMapper` will return `""OOHDR_TONEMAPPER_UNDEFINED""` and any attempt to set it will have no effect.


# 2. Migration of some global properties to the oolite JS object
This was due in for a long time now and getting the tone mapper stuff to work inevitably led to this, since there was no way I was going to add two more global getter / setter methods for something that clearly belongs to the oolite JS object.

So the following objects and methods have been moved over to the oolite JS object as read/write properties and are referred to thus:
__postFX  -->  oolite.postFX__
__getColorSaturation()/setColorSaturation()  -->  oolite.colorSaturation__
__timeAccelerationFactor  -->  oolite.timeAccelerationFactor__<sup>1</sup>
__oolite.hdrToneMapper__ (new property)

As always, appending an `'= [value]'` after any of the above will act as a setter, while simply calling the property as seen above acts as a getter.

I think the new structure makes much more sense and avoids cluttering the global JS namespace.
____________________________
<sup>1</sup>Since `timeAccelerationFactor` was present in Oolite v1.90, it is the only property that has not been removed from the global object. You can still access it but the global object version is scheduled for deprecation."
2729093972,Clean up flags,mcarans,2025-08-07 22:03:34+00:00,2025-08-22 06:08:48+00:00,{},"Fix typo DOO_FOV_INFLIGHT_CONTROL_ENABLEDD

Remove FEATURE_REQUEST_5496 as no references in code

Replace OO_EXCLUDE_DEBUG_SUPPORT with NDEBUG in code for consistency - previously if you set NDEBUG (eg. BUILD_WITH_DEBUG_FUNCTIONALITY no)  but not OO_EXCLUDE_DEBUG_SUPPORT, then compile failed. 

Remove BUILD_WITH_DEBUG_FUNCTIONALITY as duplicates OO_EXCLUDE_DEBUG_SUPPORT (which equals NDEBUG). The simplification means that OO_EXCLUDE_DEBUG_SUPPORT effectively becomes a more human readable version of NDEBUG for use in config.make and using NDEBUG alone does not break builds.

Tested on Windows and Linux including building, installing and running package
"
2693816458,Hdr detection fix on multi-monitor setups,AnotherCommander,2025-07-25 04:16:29+00:00,2025-07-25 04:18:53+00:00,{},Fixed HDR detection in the case of multi-monitor setups where the device enumeration order between DislayConfig API and EnumDisplayDevices was not guaranteed to be the same.
2690859531,"Add Clang flag, assume x86_64 for Windows/Linux",mcarans,2025-07-24 05:58:21+00:00,2025-08-02 15:22:52+00:00,{},"Also split GNUmakefile to make it easier to follow
"
2644036340,Added workaround for weird compiler behaviour ,tsoj,2025-07-06 00:09:46+00:00,2025-07-06 12:05:16+00:00,{},"I believe the issue is with gcc 15, possibly a compiler bug, but I didn't investigate further after finding the workaround of adding parentheses. The error looked like this + same thing with the `if (_count * 2 <= _capacity)` line:
```cpp
src/Core/HeadUpDisplay.m: In function ‘-[HeadUpDisplay renderHUD]’:
src/Core/HeadUpDisplay.m:841:13: error: unknown type name ‘_crosshairWidth’
  841 |         if (_crosshairWidth * lineWidth > 0)
      |             ^~~~~~~~~~~~~~~
src/Core/HeadUpDisplay.m:841:41: error: expected ‘=’, ‘,’, ‘;’, ‘asm’ or ‘__attribute__’ before ‘>’ token
  841 |         if (_crosshairWidth * lineWidth > 0)
      |                                         ^
src/Core/HeadUpDisplay.m:841:13: error: declaration in the controlling expression must have an initializer
  841 |         if (_crosshairWidth * lineWidth > 0)
      |             ^~~~~~~~~~~~~~~
src/Core/HeadUpDisplay.m:845:10: error: expected ‘)’ before ‘if’
  845 |         }
      |          ^
      |          )
  846 |
  847 |         if (lineWidth > 0)
      |         ~~
src/Core/HeadUpDisplay.m:841:12: note: to match this ‘(’
  841 |         if (_crosshairWidth * lineWidth > 0)
      |            ^
src/Core/HeadUpDisplay.m:860:1: error: expected expression before ‘}’ token
  860 | }
      | ^
``` 



Also added more compiling troubleshooting info + tiny README cleanup.
Also, as a heads-up: The pre-compiled nightly Linux binaries don't work on Fedora 42 anymore, since the binaries need libgnustep-base.so.1.28 but Fedora 42 has version 1.30."
2607104527,Pause in mission screens,AnotherCommander,2025-06-20 11:03:35+00:00,2025-06-23 16:15:08+00:00,{},"For a very long time, pausing in mission screens was not feasible. I do not have a recollection of why that was the case, but I imagine that at some point during the early Oolite days, mission screens probably had to adhere to design specs and patterns that may not be applicable at this time.

This PR changes things so that now pause and unpause in mission screens is allowed while docked. In the current game version we have plenty of mission screens. We don't have only the Constrictor, Nova etc. screens, but also the cargo, parcel and passenger contract ones, including both the contract lists and the map screens of each contract. Up to now attempting to pause while viewing the passenger contracts, for example, was not an option but for the end user this created a feeling of inconsistency, with some screens allowing pause and others not. The PR normalizes things somewhat.

Text entry mission screens are supported. Pausing during text entry is not possible and if, for some reason, we manage to enter a mission screen with text input while paused (as one can do using the debug console) it is possible to simply unpause and then continue with text entry.

In-flight is not covered by this PR. Maybe at a later stage, but I think in-flight mission screens are rare anyway.

Please advise if you believe that merging this PR could result in breakage and try to see if you can break it by testing various mission screens. Will leave it up for a few days to give time to test."
2548580247,"Updates binaries, adds extra info to shipdata",phkb,2025-05-28 07:05:04+00:00,2025-05-28 07:45:51+00:00,{},
