label,frequency,percent
PR: Needs +2,6449,74.18612676866444
PR: For stable,846,9.731968250316346
PR: Changes requested,406,4.670424479466237
PR: Rebase me!,269,3.094443805360635
PR: Is Dependency,238,2.7378350396871047
PR: Fixup requested,130,1.495456114114805
PR: Has dependencies,106,1.2193719084320718
PR: Unaddressed comment(s),80,0.9202806856091108
PR: Conceptual concerns,67,0.7707350741976302
PR: Help wanted,45,0.5176578856551248
PR: Planned Takeover,28,0.32209823996318876
hacktoberfest-accepted,7,0.08052455999079719
Feature,5,0.057517542850569425
invalid,4,0.04601403428045554
Balancing,3,0.034510525710341654
dependencies,2,0.02300701714022777
github_actions,2,0.02300701714022777
Packaging,2,0.02300701714022777
spam,1,0.011503508570113886
Documentation,1,0.011503508570113886
Performance,1,0.011503508570113886
Polish,1,0.011503508570113886
