label,frequency,percent
size/XS,2811,10.735563703024747
size/M,2799,10.689734188817598
size/L,2424,9.25756186984418
size/S,2164,8.264589062022608
type/cosmetic,1385,5.289489764741827
area:editor,1175,4.487473266116712
code quality,1015,3.876413076688054
area:gameplay,889,3.395203177512985
ruleset/osu!,830,3.1698747326611674
area:song-select,753,2.8758020164986253
type/behavioural,693,2.646654445462878
area:test coverage,658,2.512985029025359
area:skinning,553,2.1119767797128017
area:multiplayer,528,2.016498625114574
type/reliability,497,1.8981057134127712
area:mods,458,1.7491597922395357
size/XL,418,1.596394744882371
area:difficulty,411,1.569660861594867
area:online functionality,405,1.5467461044912925
type/performance,390,1.4894592117323557
ruleset/osu!mania,364,1.3901619309501985
ruleset/osu!taiko,297,1.1342804766269479
ruleset/osu!catch,283,1.08081271005194
area:database,278,1.0617170791322945
area:settings,271,1.0349831958447906
type/audio,245,0.9356859150626337
area:tooling,183,0.6989000916590284
area:input,176,0.6721662083715246
area:tournament,170,0.6492514512679499
area:results,164,0.6263366941643752
area:beatmap parsing,163,0.622517567980446
area:scoring,153,0.5843263061411549
size/XXL,147,0.5614115490375802
area:replay,130,0.4964864039107852
area:overlay-user-profile,127,0.4850290253589979
area:overlay-chat,126,0.48120989917506873
area:localisation,124,0.47357164680721053
area:playlists,121,0.4621142682554232
blocked/don't merge,120,0.458295142071494
area:overlay-mod-select,104,0.3971891231286282
area:storyboard,94,0.358997861289337
area:main menu,93,0.3551787351054079
area:overlay-beatmap-listing,90,0.3437213565536205
area:skin-editor,88,0.3360831041857623
area:overlay-beatmap,67,0.2558814543232508
area:spectator,65,0.2482432019553926
area:ruleset-api,60,0.229147571035747
platform/iOS,55,0.21005194011610145
platform/android,55,0.21005194011610145
platform/mobile,49,0.18713718301252674
area:overlays,48,0.18331805682859761
area:comments,47,0.1794989306446685
quick fix,44,0.16804155209288116
area:installer,42,0.16040329972502293
area:daily challenge,39,0.14894592117323557
area:toolbar,37,0.14130766880537735
priority:0,29,0.1107546593339444
platform/windows,27,0.10311640696608615
area:overlay-wiki,24,0.09165902841429881
area:import,22,0.08402077604644058
area:overlay-changelog,21,0.08020164986251146
area:overlay-now-playing,18,0.06874427131072411
platform/macOS,14,0.05346776657500764
blocked/missing details,9,0.034372135655362054
external/osu!framework,9,0.034372135655362054
platform/linux,8,0.030553009471432937
area:overlay-dashboard,7,0.02673388328750382
area:overlay-rankings,4,0.015276504735716468
waiting-on-design,4,0.015276504735716468
area:beatmap change tracking,3,0.011457378551787351
area:overlay-notifications,2,0.007638252367858234
compatibility change,2,0.007638252367858234
blocked/has realm migration,2,0.007638252367858234
area:templates,2,0.007638252367858234
area:overlay-volume,1,0.003819126183929117
priority:3,1,0.003819126183929117
