id,title,author,created_at,closed_at,labels,body
2887573501,WIP: Migrate SDL2 graphics backend to SDL3,tobbi,2025-10-04 21:47:08+00:00,,"{'status:in-progress': 1, 'category:code': 1, 'status:needs-work': 1, 'status:needs-review': 1, 'difficulty:hard': 1}","This is WIP and updates our backend code to SDL3.

TODO:
- [ ] Fix compiler errors.
- [ ] Continue migration
- [ ] Replace local SDL_TTF clone with package.
- [ ] Implement proper bidirectional font algorithm (read when a language is RTL and set the appropriate tags to get arabic font shaping for example.
- [ ] Check where the sdl2 -> sdl3 replacement was too eager (where a replacement from sdl2 to sdl3 happened without being required - e.g. in po files)
- [ ] Check where else the version number needs to be bumped from 2 to 3.

... and more (I can't think of any right now, but there's other needs as well)"
2862271430,[WIP] Transform every variable identifier into the Klingon equivalent,Copilot,2025-09-26 01:09:23+00:00,2025-09-26 01:10:29+00:00,{},"Thanks for asking me to work on this. I will get started on it and keep this PR's description up to date as I form a plan and make progress.


<!-- START COPILOT CODING AGENT SUFFIX -->



<details>

<summary>Original prompt</summary>

> Transform every variable identifier into the Klingon equivalent


</details>


<!-- START COPILOT CODING AGENT TIPS -->
---

💬 Share your feedback on Copilot coding agent for the chance to win a $200 gift card! Click [here](https://survey3.medallia.com/?EAHeSx-AP01bZqG0Ld9QLQ) to start the survey."
2830773055,Fix zeekling jittering after death,Brockengespenst,2025-09-15 22:04:10+00:00,2025-09-29 23:36:24+00:00,"{'category:code': 1, 'status:needs-review': 1, 'involves:physics': 1, 'type:bugfix': 1}",Fixes #3353 
2815836598,Delete ru.po,ghost,2025-09-10 14:58:17+00:00,2025-09-22 03:33:40+00:00,{},
2805510682,Improve Credits' Organization (Rebase),Frostwithasideofsalt,2025-09-06 21:53:15+00:00,,"{'type:patch': 1, 'status:in-progress': 1, 'category:meta': 1}","rebase of https://github.com/SuperTux/supertux/pull/2943

- [x] Sort people into proper categories (Programming, Level Design, Music etc.)
- [ ] Organize names by first name
- [ ] Move inactive team members to ""Past Team Member"" section (needs further discussions)
- [ ] Fix tabulation
- [ ] Something else maybe...
"
2803316672,"Add a new ""powerup"": Rotten Egg",huntekye,2025-09-05 18:09:44+00:00,,"{'involves:functionality': 1, 'status:in-progress': 1, 'status:needs-discussion': 1, 'type:feature': 1, 'category:code': 1, 'category:design': 1}","Also, add placeholder graphics, and make it available in bonus blocks.

I would love to get rid of the nested ternary operators if possible, let me know if you have any suggestions.

Also just let me know if there are any variable names / code quality things you want changed, or feel free to change them yourself."
2803103181,Fix multiple game controllers interfering each other,Brockengespenst,2025-09-05 16:29:56+00:00,,"{'involves:functionality': 1, 'status:needs-discussion': 1, 'category:code': 1, 'type:bugfix': 1}",GameControllerManager shared one button/stick state between all connected game controllers. This led to one controller interfering with other controllers in multiplayer mode.
2793944216,Fix MacOS builds,tobbi,2025-09-02 21:01:47+00:00,2025-09-29 23:05:30+00:00,"{'os:macos': 1, 'status:needs-work': 1, 'category:tests': 1}","This moves the custom GLM formula to a new repository that acts as a homebrew tap.

I followed these steps:
https://github.com/orgs/Homebrew/discussions/491#discussioncomment-270753"
2793923782,Disable scheduled trigger in translations workflow,MatusGuy,2025-09-02 20:51:47+00:00,2025-09-07 07:13:37+00:00,{},"This workflow pollutes git history very easily.
So disabling weekly retrieval from Transifex will prevent any more of these pollutions.

Translators don't need to download a new CI artifact every time they need to test, they can just edit the game's translation files with poedit or edit them with Transifex and then downloading them."
2793007229,Implement ice physics for BadGuy enemies,PhilippeDataScienc,2025-09-02 15:00:57+00:00,,"{'type:feature': 1, 'category:code': 1, 'status:needs-review': 1, 'involves:physics': 1}","Add ice slipping mechanics similar to player physics:
- Add ice state tracking (m_on_ice, m_ice_this_frame)
- Detect ice tiles in collision_tile()
- Apply reduced friction on ice surfaces
- Reset ice state each frame with proper management

Closes #733"
2787717762,fix: downgrade ubuntu version for appimage build,alberic89,2025-08-31 13:17:01+00:00,,"{'type:patch': 1, 'os:linux': 1, 'status:needs-work': 1, 'category:tests': 1}","If the AppImage is built with a too recent version of the glibc, it will not run on an older system.
For more details, see https://docs.appimage.org/introduction/concepts.html#build-on-old-systems-run-on-newer-systems"
2786709489,fix: downgrade ubuntu version in CI build,alberic89,2025-08-30 10:50:04+00:00,2025-08-30 14:06:29+00:00,{},"If the AppImage is built with a too recent version of the glibc, it will not run on an older system.
For more details, see https://docs.appimage.org/introduction/concepts.html#build-on-old-systems-run-on-newer-systems
Not tested at the moment, waiting for CI artifacts."
2785738312,Add `late_sunset` to the OST,bruhmoent,2025-08-29 19:19:15+00:00,,"{'type:feature': 1, 'status:needs-review': 1}",This song serves as a remake and counterpart to Voc's Daytime 2.
2777164344,Water refraction effect,swagtoy,2025-08-27 05:06:01+00:00,,"{'involves:functionality': 1, 'status:needs-discussion': 1, 'type:feature': 1, 'category:code': 1, 'status:needs-review': 1}","This shows a water refraction under anything in the water. I wanted it to be subtle, but it probably needs some work.

![shot-2025-08-27_01-02-27](https://github.com/user-attachments/assets/06b57e86-678a-44a9-b0bb-777a4dffd40b)
"
2769280031,Fix player hitbox bugs,MatusGuy,2025-08-23 21:02:48+00:00,2025-08-23 21:03:50+00:00,{},"Farewell short lived buttjump fly bug (introduced by [5a731830f6e171e512c4d519e59c2a80bca7e8f1](https://github.com/SuperTux/supertux/commit/5a731830f6e171e512c4d519e59c2a80bca7e8f1))
Footage of the bug: https://youtu.be/9dfWzp7rYR4"
2768355464,Switch Player from MovingObject to MovingSprite,swagtoy,2025-08-23 08:00:30+00:00,2025-08-23 17:42:26+00:00,{},"This exposes some Squirrel methods such as set_sprite. Pretty fun.

Cherry picked from my old player refactor branch. Very trivial change. Nothing breaks."
2767488656,rocks push graniteos into the floor fix,prestonmhorne,2025-08-22 21:14:18+00:00,2025-09-02 05:23:59+00:00,{'status:needs-review': 1},https://github.com/SuperTux/supertux/issues/3321
2765375688,Use system-native cursor for custom cursor,swagtoy,2025-08-22 07:07:59+00:00,2025-08-24 01:05:48+00:00,{},"Currently, the game draws the cursor as it's own sprite. This is fine in most cases, however, this will cause some input lag when the user moves their cursor. This is because the sprite cursor is drawn on every flip, which may lag behind the actual system refresh rate.

The OS (which SDL interfaces) has it's own cursor api, and therefore is preferred, since that sets the display systems physical cursor instead of rendering our own.

The player can choose if they want the game to render the cursor or if it should be drawn natively."
2758441524,Graphics PR (4),Frostwithasideofsalt,2025-08-20 05:17:34+00:00,,"{'priority:urgent': 1, 'status:in-progress': 1, 'type:feature': 1, 'category:design': 1}","Pr adds
-New backgrounds for forest world [UNFINISHED]
-New large nolok statue decal by @FILIPOKonGithup 
todo: 
add billboards for ice and earth flowers
add new signs that use new flower sprites "
2751460048,Fix Tux' velocity on frozen enemy,der-hahn,2025-08-17 18:42:49+00:00,,"{'category:code': 1, 'status:needs-review': 1, 'involves:physics': 1, 'type:bugfix': 1}",Addition to #3232 . Tux' velocity increased while being on a jumping frozen enemy. I fixed it by setting the velocity to zero.
2750179724,Don't assert ssq_vm if the VM exits,swagtoy,2025-08-16 05:40:26+00:00,2025-08-20 20:46:01+00:00,{},"As an example, the logo is missing on world1/intro.stl which causes the wait call to fail since ssq_vm is null. Just return instead.

Fixes #3337, #3323 (maybe), #3295. Possibly fixes #3190 but unsure.

Not sure why so many people play with debug builds :-)"
2750162006,Save game on SDL exit,swagtoy,2025-08-16 05:12:22+00:00,2025-08-18 17:59:43+00:00,{},"The game does not bother saving when the user exits the game via the window (or keybinds, etc). This fixes that."
2750058893,Icy Island Overhaul for v0.7 (rebase + tweaks) ,Frostwithasideofsalt,2025-08-16 02:28:44+00:00,,"{'priority:urgent': 1, 'status:in-progress': 1, 'category:design': 1}","Successor to #3216. mostly done, ignoring cutscenes, getting alt paths to work, alongside a re-tile of bouncy bouncy mountianside. This Pr also contains a bunch of minor fixes such as level design tweaks and tile error fixes. "
2738117662,Fix notorious crash when switching worlds,swagtoy,2025-08-12 08:07:09+00:00,2025-08-18 18:55:16+00:00,{},"Previously, the WorldMap::change() method would create a unique pointer that replaces the which would clobber the Currenton state of the worldmap by pushing a new screen. However, this screws up the Currenton instance making it null at some point due to how it's freed.

This changes how the WorldMap initializes. WorldMap::change() instead simply changes it's state in-place.

May fix some other occasional issues that occured with the WorldMap.

Fixes #3280, #3130, etc...

Testing encouraged."
2736418724,Kill player on crusher's impact,der-hahn,2025-08-11 18:04:59+00:00,2025-08-17 09:27:31+00:00,{},"Fixing player getting pushed in wall when standing on icebreaker (or by anything else) by killing the player instantly which also is bit more realistic. Closes #3314
Edit: Sorry for writing the same pull request again, I moved the branch as I found out I accidentally wanted to merge my master branch."
2736288095,"GhostTree new logic level insane, take a cup of java before reviewing this",Hypernoot,2025-08-11 17:20:18+00:00,,{'priority:urgent': 1},see #3217 
2732959000,Tweak `Ghoul`'s speeds,bruhmoent,2025-08-09 20:25:44+00:00,2025-08-30 23:00:10+00:00,{},This PR addresses the discrepancy between the Ghoul's vertical and horizontal movement and its lunge. Also tweaks its code-style.
2732888180,Kill player on crusher's impact,der-hahn,2025-08-09 18:37:56+00:00,2025-08-11 17:48:13+00:00,{},Fixing player getting pushed in wall when standing on icebreaker (or by anything else) by killing the player instantly which also is bit more realistic. Closes #3314 
2732013397,Graphics PR (3),Frostwithasideofsalt,2025-08-09 01:02:33+00:00,2025-08-12 08:53:47+00:00,{},"<img width=""1342"" height=""873"" alt=""image"" src=""https://github.com/user-attachments/assets/5a61f7e9-a0e0-4097-8acf-1179a3bfebd7"" />

- Adds new snowy trees made by @FILIPOKonGithup,
- Adds new Nolok statues,
- Deprecates a bunch of outdated backgrounds,
- Tweaks the default sector (Preset layered background, music),
- Fixes a color initialization issue in `color.hpp`.

TODO:
- [x] Convert credit JPGs to PNGs,
- [x] Add Nolok statue retro tiles."
2718624086,Fix download.supertux.org Windows builds,MatusGuy,2025-08-04 16:55:17+00:00,2025-08-04 17:55:39+00:00,{},
2682973856,Added license for Roboto,huntekye,2025-07-21 19:40:45+00:00,2025-07-27 04:23:23+00:00,{},"Also, removed the seemingly spurious executable bits from NotoSans-Regular.ttf

The license is copied from https://github.com/googlefonts/roboto-3-classic/blob/main/OFL.txt

[ci skip]

Might close #1383
"
2678268870,Stop rolling when stone Tux gets killed,Brockengespenst,2025-07-18 21:06:31+00:00,2025-08-11 10:36:58+00:00,{},"This avoids Tux having a different gravity when getting killed (e.g. by falling into the void while rolling) than under normal conditions.

Fixes #3307"
2663815036,[WIP]: Add new discord social sdk,johannes-el,2025-07-14 10:33:56+00:00,2025-07-16 17:48:42+00:00,{},"# Experimental PR

This PR is experimental.

**Note:** It does *not* include the following large binaries due to size limits:
../external/discord_social_sdk/lib/debug/libdiscord_partner_sdk.dylib
../external/discord_social_sdk/lib/debug/libdiscord_partner_sdk.so
../external/discord_social_sdk/lib/release/libdiscord_partner_sdk.dbg

This PR might also clash with another ongoing CMake PR.

It adds a new thread to run the Discord Social SDK update function and poll RunCallbacks."
2657410616,New Graphics 2 ,Frostwithasideofsalt,2025-07-10 23:26:56+00:00,2025-07-26 05:24:07+00:00,{'category:design': 1},"Contains more new graphics, like the last one. If this one gets too large ill probably split it up into yet another PR so stuff can get in at a reasonable time.

- [x] Remake ice floes
- [x] Remake shortfuse explosion sprite 
- [x] Add yeti and ghost tree overworld sprites
- [x] Add topless -> topped transition tiles
- [x] Remake explanation billboards 
- [x] Deprecate some more old graphics 
- [x] New magic block (?)
- [x] New skull tiles
- [x] Add new industrial grates 

And probably more, I'll add new changes to this list as they're added. "
2649301553,"Menu graphics, new mouse, tile tweaks, and other graphical changes. ",Frostwithasideofsalt,2025-07-08 10:01:29+00:00,2025-07-10 20:58:43+00:00,"{'priority:medium': 1, 'status:in-progress': 1, 'category:design': 1}","Adds a lot of new graphics. 
also includes new industrial tiles made by @Rusty-Box, and new toad sprites by @Petr-the-Developer."
