label,frequency,percent
category:code,371,24.716855429713526
type:feature,147,9.793471019320453
type:patch,120,7.994670219853431
category:design,91,6.062624916722186
type:bugfix,84,5.596269153897402
involves:functionality,83,5.52964690206529
status:in-progress,72,4.796802131912059
involves:editor,72,4.796802131912059
status:needs-work,61,4.063957361758828
status:needs-review,56,3.7308461025982673
involves:scripting,45,2.9980013324450367
status:needs-discussion,36,2.3984010659560293
category:levels,28,1.8654230512991337
priority:low,25,1.6655562958027983
priority:medium,23,1.5323117921385743
category:meta,20,1.3324450366422385
status:conditional,17,1.1325782811459029
category:tests,16,1.0659560293137909
involves:performance,14,0.9327115256495668
type:idea,14,0.9327115256495668
involves:l10n,13,0.866089273817455
involves:physics,12,0.7994670219853431
priority:high,11,0.7328447701532311
type:level,10,0.6662225183211192
type:bug,7,0.4663557628247834
priority:urgent,6,0.39973351099267157
status:assigned,6,0.39973351099267157
os:windows,5,0.3331112591605596
involves:documentation,5,0.3331112591605596
invalid,5,0.3331112591605596
difficulty:easy,5,0.3331112591605596
os:linux,4,0.2664890073284477
help wanted,4,0.2664890073284477
os:macos,3,0.19986675549633579
status:needs-information,3,0.19986675549633579
difficulty:hard,2,0.13324450366422386
os:ubuntu-touch,1,0.06662225183211193
os:android,1,0.06662225183211193
involves:security,1,0.06662225183211193
os:bsd,1,0.06662225183211193
duplicate,1,0.06662225183211193
